,Topic,Words,Frequency,Timestamp
118,57,"myanmar, suu, kyi, aung, bà",33,2016-01-18 22:22:30
119,58,"bệnh, viện, vinmec, khám, khoa",32,2016-01-18 22:22:30
120,59,"sudan, haiti, guinea, quân, mali",30,2016-01-18 22:22:30
121,60,"luật, hội, thảo, dự, pháp",29,2016-01-18 22:22:30
122,61,"tôn, giáo, tín, chức, ngưỡng",31,2016-01-18 22:22:30
123,62,"tăng, năm, kinh, gdp, doanh",31,2016-01-18 22:22:30
124,63,"ương, ban, hội, nhiệm, bí",29,2016-01-18 22:22:30
125,64,"phim, diễn, cô, tôi, khán",29,2016-01-18 22:22:30
126,65,"giáo, học, dục, trường, sinh",30,2016-01-18 22:22:30
127,66,"công, ty, nhân, lao, đình",29,2016-01-18 22:22:30
128,67,"quân, tỉnh, chqs, bộ, ủy",29,2016-01-18 22:22:30
129,68,"phủ, tướng, thủ, chính, bộ",28,2016-01-18 22:22:30
130,69,"belarus, lukashenko, cử, minsk, thống",28,2016-01-18 22:22:30
131,70,"âu, đảng, đức, châu, merkel",27,2016-01-18 22:22:30
132,71,"nữ, phụ, lhpn, hội, đại",27,2016-01-18 22:22:30
133,72,"huynh, học, phụ, trường, phí",26,2016-01-18 22:22:30
134,73,"ông, trump, mueller, tra, nga",26,2016-01-18 22:22:30
135,74,"giá, kg, tăng, mức, 000",24,2016-01-18 22:22:30
136,75,"lan, tình, thái, biểu, hoàng",23,2016-01-18 22:22:30
137,76,"huawei, tôi, chúng, hoa, ty",24,2016-01-18 22:22:30
138,77,"bức, nghệ, sĩ, tranh, diễn",22,2016-01-18 22:22:30
139,78,"vàng, giá, ounce, usd, sjc",21,2016-01-18 22:22:30
140,79,"mã, tấn, ransomware, tặc, hổng",20,2016-01-18 22:22:30
141,80,"nga, putin, phiếu, bỏ, cử",23,2016-01-18 22:22:30
142,81,"âu, euro, châu, eu, quân",22,2016-01-18 22:22:30
143,82,"campuchia, việt, tướng, nam, thủ",21,2016-01-18 22:22:30
144,83,"abe, nhật, bản, tướng, ông",22,2016-01-18 22:22:30
145,84,"lãm, phẩm, triển, nghiệp, công",22,2016-01-18 22:22:30
146,85,"tư, án, tỉnh, khu, hoạch",21,2016-01-18 22:22:30
147,86,"pháo, đạn, chiến, súng, xe",21,2016-01-18 22:22:30
