date_publish,narrative_protest,narrative_corruption,narrative_economic
2018-03-19,23.0,12.571428571428571,53.857142857142854
2018-03-20,22.857142857142858,12.428571428571429,56.42857142857143
2018-03-21,21.285714285714285,11.714285714285714,58.57142857142857
2018-03-22,18.714285714285715,12.142857142857142,59.285714285714285
2018-03-23,19.428571428571427,12.714285714285714,58.0
2018-03-24,19.142857142857142,11.0,55.42857142857143
2018-03-25,19.714285714285715,10.285714285714286,53.857142857142854
2018-03-26,19.714285714285715,9.428571428571429,52.857142857142854
2018-03-27,20.428571428571427,8.428571428571429,52.285714285714285
2018-03-28,22.0,8.428571428571429,52.42857142857143
2018-03-29,23.0,8.714285714285714,50.714285714285715
2018-03-30,22.428571428571427,7.428571428571429,49.714285714285715
2018-03-31,20.285714285714285,7.571428571428571,49.42857142857143
2018-04-01,19.857142857142858,7.857142857142857,48.857142857142854
2018-04-02,20.571428571428573,8.428571428571429,50.142857142857146
2018-04-03,21.142857142857142,8.571428571428571,49.285714285714285
2018-04-04,22.285714285714285,8.571428571428571,43.714285714285715
2018-04-05,21.142857142857142,7.857142857142857,38.285714285714285
2018-04-06,19.0,8.0,34.142857142857146
2018-04-07,21.571428571428573,9.857142857142858,36.285714285714285
2018-04-08,21.714285714285715,9.571428571428571,36.857142857142854
2018-04-09,19.714285714285715,9.714285714285714,35.142857142857146
2018-04-10,18.0,9.714285714285714,34.0
2018-04-11,15.571428571428571,11.857142857142858,37.714285714285715
2018-04-12,16.142857142857142,11.857142857142858,41.285714285714285
2018-04-13,17.714285714285715,11.857142857142858,42.285714285714285
2018-04-14,15.857142857142858,9.571428571428571,42.0
2018-04-15,15.428571428571429,9.714285714285714,42.714285714285715
2018-04-16,15.428571428571429,9.0,46.285714285714285
2018-04-17,16.428571428571427,9.0,47.57142857142857
2018-04-18,18.571428571428573,6.142857142857143,47.57142857142857
2018-04-19,18.0,6.0,48.285714285714285
2018-04-20,18.857142857142858,5.714285714285714,49.0
2018-04-21,20.285714285714285,6.428571428571429,49.142857142857146
2018-04-22,19.428571428571427,7.428571428571429,49.57142857142857
2018-04-23,20.857142857142858,7.142857142857143,46.0
2018-04-24,22.714285714285715,7.285714285714286,45.142857142857146
2018-04-25,25.857142857142858,8.428571428571429,44.142857142857146
2018-04-26,32.0,9.0,41.285714285714285
2018-04-27,31.857142857142858,8.714285714285714,40.57142857142857
2018-04-28,30.142857142857142,8.571428571428571,39.285714285714285
2018-04-29,30.857142857142858,7.571428571428571,37.57142857142857
2018-04-30,28.142857142857142,7.714285714285714,33.142857142857146
2018-05-01,26.428571428571427,7.428571428571429,32.142857142857146
2018-05-02,23.571428571428573,7.0,36.57142857142857
2018-05-03,18.428571428571427,7.428571428571429,41.714285714285715
2018-05-04,20.428571428571427,7.285714285714286,43.714285714285715
2018-05-05,22.714285714285715,8.142857142857142,45.42857142857143
2018-05-06,24.714285714285715,8.285714285714286,46.714285714285715
2018-05-07,29.0,9.571428571428571,55.57142857142857
2018-05-08,30.285714285714285,10.285714285714286,59.714285714285715
2018-05-09,30.428571428571427,10.285714285714286,58.57142857142857
2018-05-10,30.571428571428573,10.428571428571429,58.285714285714285
2018-05-11,28.428571428571427,11.571428571428571,59.714285714285715
2018-05-12,27.142857142857142,11.857142857142858,58.857142857142854
2018-05-13,25.142857142857142,11.428571428571429,57.0
2018-05-14,22.428571428571427,10.142857142857142,55.57142857142857
2018-05-15,21.428571428571427,9.142857142857142,53.857142857142854
2018-05-16,21.142857142857142,8.857142857142858,50.0
2018-05-17,18.857142857142858,7.0,45.857142857142854
2018-05-18,18.0,5.714285714285714,43.57142857142857
